Time [s], Analyzer Name, Decoded Protocol Result
1.894125110000000,USB LS and FS,byte=0xAA
1.894125778000000,USB LS and FS,byte=0x55
1.894126444000000,USB LS and FS,byte=0x53
1.894127110000000,USB LS and FS,byte=0x04
1.894127778000000,USB LS and FS,byte=0x1C
1.894128444000000,USB LS and FS,byte=0x01
1.894129110000000,USB LS and FS,byte=0x01
1.894129778000000,USB LS and FS,byte=0x73
1.906936890000000,USB LS and FS,Byte 0x20
1.906937554000000,USB LS and FS,Byte 0x55
1.906938218000000,USB LS and FS,Byte 0xAA
1.906938880000000,USB LS and FS,Byte 0x53
1.906939542000000,USB LS and FS,Byte 0x1C
1.906940208000000,USB LS and FS,Byte 0xFF
1.906940952000000,USB LS and FS,Byte 0x02
1.906941616000000,USB LS and FS,Byte 0x6D
1.906942278000000,USB LS and FS,Byte 0x55
1.906942942000000,USB LS and FS,Byte 0xAA
1.906943604000000,USB LS and FS,Byte 0x53
1.906944268000000,USB LS and FS,Byte 0x0E
1.906944932000000,USB LS and FS,Byte 0x35
1.906945592000000,USB LS and FS,Byte 0x00
1.906946256000000,USB LS and FS,Byte 0x00
1.906946922000000,USB LS and FS,Byte 0x01
1.906947584000000,USB LS and FS,Byte 0x6A
1.906948248000000,USB LS and FS,Byte 0xDD
1.906948910000000,USB LS and FS,Byte 0x39
1.906949574000000,USB LS and FS,Byte 0x1D
1.906950238000000,USB LS and FS,Byte 0xB9
1.906950900000000,USB LS and FS,Byte 0x03
1.906951562000000,USB LS and FS,Byte 0x1C
1.906952226000000,USB LS and FS,Byte 0x01
1.906952888000000,USB LS and FS,Byte 0x04
1.906953552000000,USB LS and FS,Byte 0x0C
1.906954216000000,USB LS and FS,Byte 0x55
1.906954878000000,USB LS and FS,Byte 0xAA
1.906955542000000,USB LS and FS,Byte 0x53
1.906956206000000,USB LS and FS,Byte 0x03
1.906956870000000,USB LS and FS,Byte 0x1D
1.906957532000000,USB LS and FS,Byte 0x01
1.906958194000000,USB LS and FS,Byte 0x72
1.906958858000000,USB LS and FS,Byte 0x20
1.906959522000000,USB LS and FS,Byte 0x55
1.906960184000000,USB LS and FS,Byte 0x44
1.906960848000000,USB LS and FS,Byte 0x33
1.906961510000000,USB LS and FS,Byte 0x55
1.906962174000000,USB LS and FS,Byte 0x07
1.906962838000000,USB LS and FS,Byte 0xC5
1.906963502000000,USB LS and FS,Byte 0xFF
1.906964246000000,USB LS and FS,Byte 0x77
1.906964992000000,USB LS and FS,Byte 0x75
1.906965654000000,USB LS and FS,Byte 0xEB
1.906966318000000,USB LS and FS,Byte 0xDB
1.906966980000000,USB LS and FS,Byte 0xFD
1.906967728000000,USB LS and FS,Byte 0x6D
1.906968390000000,USB LS and FS,Byte 0xFD
1.906969138000000,USB LS and FS,Byte 0xFB
1.906969802000000,USB LS and FS,Byte 0xAB
1.906970546000000,USB LS and FS,Byte 0xBD
1.906971208000000,USB LS and FS,Byte 0x6F
1.906971872000000,USB LS and FS,Byte 0x75
1.906972536000000,USB LS and FS,Byte 0x5D
1.906973198000000,USB LS and FS,Byte 0xFF
1.906973944000000,USB LS and FS,Byte 0xA7
1.906974608000000,USB LS and FS,Byte 0xDB
1.906975270000000,USB LS and FS,Byte 0xEB
1.906975934000000,USB LS and FS,Byte 0x7B
1.906976598000000,USB LS and FS,Byte 0x3B
1.906977260000000,USB LS and FS,Byte 0x9F
1.906977922000000,USB LS and FS,Byte 0xFD
1.906978670000000,USB LS and FS,Byte 0xBF
1.907936802000000,USB LS and FS,byte=0xAA
1.907937468000000,USB LS and FS,byte=0x55
1.907938136000000,USB LS and FS,byte=0x53
1.907938804000000,USB LS and FS,byte=0x35
1.907939470000000,USB LS and FS,byte=0xFF
1.907940220000000,USB LS and FS,byte=0x02
1.907940884000000,USB LS and FS,byte=0x86
1.908559008000000,USB LS and FS,byte=0xAA
1.908559676000000,USB LS and FS,byte=0x55
1.908560344000000,USB LS and FS,byte=0x53
1.908561010000000,USB LS and FS,byte=0x1D
1.908561676000000,USB LS and FS,byte=0xFF
1.908562426000000,USB LS and FS,byte=0x02
1.908563090000000,USB LS and FS,byte=0x6E
12.049558156000000,USB LS and FS,Byte 0x2D
12.049558818000000,USB LS and FS,Byte 0x55
12.049559479999999,USB LS and FS,Byte 0xAA
12.049560144000001,USB LS and FS,Byte 0x53
12.049560806000001,USB LS and FS,Byte 0x17
12.049561470000000,USB LS and FS,Byte 0x35
12.049562132000000,USB LS and FS,Byte 0x00
12.049562794000000,USB LS and FS,Byte 0x00
12.049563458000000,USB LS and FS,Byte 0x01
12.049564119999999,USB LS and FS,Byte 0x6A
12.049564783999999,USB LS and FS,Byte 0xDD
12.049565447999999,USB LS and FS,Byte 0x39
12.049566112000001,USB LS and FS,Byte 0x43
12.049566774000001,USB LS and FS,Byte 0x80
12.049567438000000,USB LS and FS,Byte 0x0C
12.049568100000000,USB LS and FS,Byte 0xA3
12.049568764000000,USB LS and FS,Byte 0x37
12.049569430000000,USB LS and FS,Byte 0x37
12.049570092000000,USB LS and FS,Byte 0x37
12.049570753999999,USB LS and FS,Byte 0x42
12.049571417999999,USB LS and FS,Byte 0x31
12.049572080000001,USB LS and FS,Byte 0x39
12.049572744000001,USB LS and FS,Byte 0x36
12.049573408000001,USB LS and FS,Byte 0x32
12.049574070000000,USB LS and FS,Byte 0x01
12.049574732000000,USB LS and FS,Byte 0x10
12.049575394000000,USB LS and FS,Byte 0x06
12.049576058000000,USB LS and FS,Byte 0x5B
12.049576721999999,USB LS and FS,Byte 0x55
12.049577383999999,USB LS and FS,Byte 0xAA
12.049578048000001,USB LS and FS,Byte 0x53
12.049578712000001,USB LS and FS,Byte 0x0E
12.049579374000000,USB LS and FS,Byte 0x20
12.049580038000000,USB LS and FS,Byte 0xA3
12.049580702000000,USB LS and FS,Byte 0x37
12.049581368000000,USB LS and FS,Byte 0x37
12.049582030000000,USB LS and FS,Byte 0x37
12.049582689999999,USB LS and FS,Byte 0x42
12.049583355999999,USB LS and FS,Byte 0x31
12.049584017999999,USB LS and FS,Byte 0x39
12.049584682000001,USB LS and FS,Byte 0x36
12.049585344000000,USB LS and FS,Byte 0x32
12.049586008000000,USB LS and FS,Byte 0x01
12.049586670000000,USB LS and FS,Byte 0x10
12.049587336000000,USB LS and FS,Byte 0x03
12.049587998000000,USB LS and FS,Byte 0xED
12.049588662000000,USB LS and FS,Byte 0x6D
12.049589323999999,USB LS and FS,Byte 0xFD
12.049590070000001,USB LS and FS,Byte 0xFB
12.049590736000001,USB LS and FS,Byte 0xAB
12.049591480000000,USB LS and FS,Byte 0xBD
12.049592144000000,USB LS and FS,Byte 0x6F
12.049592806000000,USB LS and FS,Byte 0x75
12.049593470000000,USB LS and FS,Byte 0x5D
12.049594131999999,USB LS and FS,Byte 0xFF
12.049594878000001,USB LS and FS,Byte 0xA7
12.049595542000000,USB LS and FS,Byte 0xDB
12.049596206000000,USB LS and FS,Byte 0xEB
12.049596870000000,USB LS and FS,Byte 0x7B
12.049597532000000,USB LS and FS,Byte 0x3B
12.049598194000000,USB LS and FS,Byte 0x9F
12.049598858000000,USB LS and FS,Byte 0xFD
12.049599604000001,USB LS and FS,Byte 0xBF
12.050645072000000,USB LS and FS,byte=0xAA
12.050645740000000,USB LS and FS,byte=0x55
12.050646408000000,USB LS and FS,byte=0x53
12.050647074000000,USB LS and FS,byte=0x35
12.050647742000001,USB LS and FS,byte=0xFF
12.050648490000000,USB LS and FS,byte=0x02
12.050649156000000,USB LS and FS,byte=0x86
12.052210712000001,USB LS and FS,byte=0xAA
12.052211379999999,USB LS and FS,byte=0x55
12.052212047999999,USB LS and FS,byte=0x53
12.052212711999999,USB LS and FS,byte=0x20
12.052213380000000,USB LS and FS,byte=0xFF
12.052214127999999,USB LS and FS,byte=0x02
12.052214795999999,USB LS and FS,byte=0x71
12.053827763999999,USB LS and FS,byte=0xAA
12.053828432000000,USB LS and FS,byte=0x55
12.053829100000000,USB LS and FS,byte=0x53
12.053829766000000,USB LS and FS,byte=0x1B
12.053830434000000,USB LS and FS,byte=0x21
12.053831100000000,USB LS and FS,byte=0x37
12.053831764000000,USB LS and FS,byte=0x37
12.053832432000000,USB LS and FS,byte=0x37
12.053833098000000,USB LS and FS,byte=0x42
12.053833766000000,USB LS and FS,byte=0x31
12.053834432000000,USB LS and FS,byte=0x39
12.053835098000000,USB LS and FS,byte=0x36
12.053835764000000,USB LS and FS,byte=0x32
12.053836432000001,USB LS and FS,byte=0x69
12.053837098000001,USB LS and FS,byte=0x36
12.053837765999999,USB LS and FS,byte=0x46
12.053838431999999,USB LS and FS,byte=0x37
12.053839097999999,USB LS and FS,byte=0x61
12.053839763999999,USB LS and FS,byte=0x34
12.053840431999999,USB LS and FS,byte=0x30
12.053841097999999,USB LS and FS,byte=0x38
12.053841764000000,USB LS and FS,byte=0x36
12.053842432000000,USB LS and FS,byte=0x61
12.053843098000000,USB LS and FS,byte=0x54
12.053843766000000,USB LS and FS,byte=0x75
12.053844432000000,USB LS and FS,byte=0x70
12.053845098000000,USB LS and FS,byte=0x39
12.053845764000000,USB LS and FS,byte=0x38
12.053846432000000,USB LS and FS,byte=0x4C
12.053847098000000,USB LS and FS,byte=0x07
12.053847764000000,USB LS and FS,byte=0xED
12.066557546000000,USB LS and FS,Byte 0x1F
12.066558292000000,USB LS and FS,Byte 0x55
12.066558954000000,USB LS and FS,Byte 0xAA
12.066559617999999,USB LS and FS,Byte 0x53
12.066560281999999,USB LS and FS,Byte 0x21
12.066560945999999,USB LS and FS,Byte 0xFF
12.066561692000001,USB LS and FS,Byte 0x02
12.066562354000000,USB LS and FS,Byte 0x72
12.066563020000000,USB LS and FS,Byte 0x55
12.066563682000000,USB LS and FS,Byte 0xAA
12.066564346000000,USB LS and FS,Byte 0x53
12.066565008000000,USB LS and FS,Byte 0x14
12.066565674000000,USB LS and FS,Byte 0x35
12.066566333999999,USB LS and FS,Byte 0x00
12.066566998000001,USB LS and FS,Byte 0x00
12.066567662000001,USB LS and FS,Byte 0x01
12.066568324000000,USB LS and FS,Byte 0x6A
12.066568990000000,USB LS and FS,Byte 0xDD
12.066569652000000,USB LS and FS,Byte 0x39
12.066570316000000,USB LS and FS,Byte 0x43
12.066570980000000,USB LS and FS,Byte 0x93
12.066571642000000,USB LS and FS,Byte 0x0A
12.066572308000000,USB LS and FS,Byte 0x21
12.066572969999999,USB LS and FS,Byte 0x37
12.066573633999999,USB LS and FS,Byte 0x37
12.066574298000001,USB LS and FS,Byte 0x37
12.066574960000001,USB LS and FS,Byte 0x42
12.066575624000000,USB LS and FS,Byte 0x31
12.066576288000000,USB LS and FS,Byte 0x39
12.066576950000000,USB LS and FS,Byte 0x36
12.066577614000000,USB LS and FS,Byte 0x05
12.066578276000000,USB LS and FS,Byte 0xA4
