Time [s], Analyzer Name, Decoded Protocol Result
1.696264492000000,USB LS and FS,byte=0xAA
1.696265160000000,USB LS and FS,byte=0x55
1.696265828000000,USB LS and FS,byte=0x53
1.696266492000000,USB LS and FS,byte=0x04
1.696267160000000,USB LS and FS,byte=0x1C
1.696267828000000,USB LS and FS,byte=0x01
1.696268494000000,USB LS and FS,byte=0x01
1.696269162000000,USB LS and FS,byte=0x73
1.708944528000000,USB LS and FS,Byte 0x20
1.708945192000000,USB LS and FS,Byte 0x55
1.708945856000000,USB LS and FS,Byte 0xAA
1.708946518000000,USB LS and FS,Byte 0x53
1.708947184000000,USB LS and FS,Byte 0x1C
1.708947848000000,USB LS and FS,Byte 0xFF
1.708948592000000,USB LS and FS,Byte 0x02
1.708949256000000,USB LS and FS,Byte 0x6D
1.708949918000000,USB LS and FS,Byte 0x55
1.708950582000000,USB LS and FS,Byte 0xAA
1.708951246000000,USB LS and FS,Byte 0x53
1.708951908000000,USB LS and FS,Byte 0x0E
1.708952572000000,USB LS and FS,Byte 0x35
1.708953234000000,USB LS and FS,Byte 0x00
1.708953896000000,USB LS and FS,Byte 0x00
1.708954562000000,USB LS and FS,Byte 0x01
1.708955224000000,USB LS and FS,Byte 0x6A
1.708955888000000,USB LS and FS,Byte 0xDD
1.708956550000000,USB LS and FS,Byte 0x30
1.708957214000000,USB LS and FS,Byte 0xBE
1.708957876000000,USB LS and FS,Byte 0xDB
1.708958542000000,USB LS and FS,Byte 0x03
1.708959206000000,USB LS and FS,Byte 0x1C
1.708959870000000,USB LS and FS,Byte 0x01
1.708960532000000,USB LS and FS,Byte 0x04
1.708961194000000,USB LS and FS,Byte 0xC6
1.708961860000000,USB LS and FS,Byte 0x55
1.708962520000000,USB LS and FS,Byte 0xAA
1.708963184000000,USB LS and FS,Byte 0x53
1.708963848000000,USB LS and FS,Byte 0x03
1.708964512000000,USB LS and FS,Byte 0x1D
1.708965174000000,USB LS and FS,Byte 0x01
1.708965838000000,USB LS and FS,Byte 0x72
1.708966500000000,USB LS and FS,Byte 0x20
1.708967164000000,USB LS and FS,Byte 0x55
1.708967826000000,USB LS and FS,Byte 0x44
1.708968492000000,USB LS and FS,Byte 0x33
1.708969154000000,USB LS and FS,Byte 0x55
1.708969818000000,USB LS and FS,Byte 0x07
1.708970482000000,USB LS and FS,Byte 0xC5
1.708971146000000,USB LS and FS,Byte 0xFF
1.708971892000000,USB LS and FS,Byte 0x77
1.708972638000000,USB LS and FS,Byte 0x75
1.708973302000000,USB LS and FS,Byte 0xEB
1.708973966000000,USB LS and FS,Byte 0xDB
1.708974630000000,USB LS and FS,Byte 0xFD
1.708975374000000,USB LS and FS,Byte 0x6D
1.708976038000000,USB LS and FS,Byte 0xFD
1.708976782000000,USB LS and FS,Byte 0xFB
1.708977448000000,USB LS and FS,Byte 0xAB
1.708978192000000,USB LS and FS,Byte 0xBD
