Time [s], Analyzer Name, Decoded Protocol Result
1.844939402000000,USB LS and FS,Byte 0x3E
1.844940068000000,USB LS and FS,Byte 0x55
1.844940734000000,USB LS and FS,Byte 0xAA
1.844941394000000,USB LS and FS,Byte 0x53
1.844942058000000,USB LS and FS,Byte 0x19
1.844942726000000,USB LS and FS,Byte 0x35
1.844943386000000,USB LS and FS,Byte 0x00
1.844944050000000,USB LS and FS,Byte 0x00
1.844944716000000,USB LS and FS,Byte 0x01
1.844945378000000,USB LS and FS,Byte 0x6A
1.844946042000000,USB LS and FS,Byte 0xDD
1.844946706000000,USB LS and FS,Byte 0x46
1.844947370000000,USB LS and FS,Byte 0x58
1.844948034000000,USB LS and FS,Byte 0xDC
1.844948696000000,USB LS and FS,Byte 0x0E
1.844949362000000,USB LS and FS,Byte 0xA2
1.844950024000000,USB LS and FS,Byte 0x37
1.844950688000000,USB LS and FS,Byte 0x37
1.844951354000000,USB LS and FS,Byte 0x37
1.844952016000000,USB LS and FS,Byte 0x42
1.844952680000000,USB LS and FS,Byte 0x31
1.844953344000000,USB LS and FS,Byte 0x39
1.844954006000000,USB LS and FS,Byte 0x36
1.844954670000000,USB LS and FS,Byte 0x32
1.844955336000000,USB LS and FS,Byte 0x01
1.844956000000000,USB LS and FS,Byte 0x00
1.844956662000000,USB LS and FS,Byte 0x00
1.844957328000000,USB LS and FS,Byte 0x04
1.844957992000000,USB LS and FS,Byte 0x06
1.844958654000000,USB LS and FS,Byte 0xD0
1.844959320000000,USB LS and FS,Byte 0x55
1.844959982000000,USB LS and FS,Byte 0xAA
1.844960648000000,USB LS and FS,Byte 0x53
1.844961312000000,USB LS and FS,Byte 0x1D
1.844961976000000,USB LS and FS,Byte 0x19
1.844962640000000,USB LS and FS,Byte 0x00
1.844963302000000,USB LS and FS,Byte 0x00
1.844963966000000,USB LS and FS,Byte 0x01
1.844964630000000,USB LS and FS,Byte 0x6A
1.844965296000000,USB LS and FS,Byte 0xDD
1.844965956000000,USB LS and FS,Byte 0x46
1.844966622000000,USB LS and FS,Byte 0x58
1.844967286000000,USB LS and FS,Byte 0xDF
1.844967948000000,USB LS and FS,Byte 0xA2
1.844968612000000,USB LS and FS,Byte 0x37
1.844969276000000,USB LS and FS,Byte 0x37
1.844969940000000,USB LS and FS,Byte 0x37
1.844970602000000,USB LS and FS,Byte 0x42
1.844971266000000,USB LS and FS,Byte 0x31
1.844971928000000,USB LS and FS,Byte 0x39
1.844972592000000,USB LS and FS,Byte 0x36
1.844973256000000,USB LS and FS,Byte 0x32
1.844973920000000,USB LS and FS,Byte 0x01
1.844974586000000,USB LS and FS,Byte 0x13
1.844975248000000,USB LS and FS,Byte 0x63
1.844975912000000,USB LS and FS,Byte 0x00
1.844976578000000,USB LS and FS,Byte 0x01
1.844977240000000,USB LS and FS,Byte 0x00
1.844977904000000,USB LS and FS,Byte 0x00
1.844978568000000,USB LS and FS,Byte 0x04
1.844979232000000,USB LS and FS,Byte 0x3B
1.844979898000000,USB LS and FS,Byte 0x07
1.844980562000000,USB LS and FS,Byte 0x5F
1.845770330000000,USB LS and FS,byte=0xAA
1.845770998000000,USB LS and FS,byte=0x55
1.845771666000000,USB LS and FS,byte=0x53
1.845772332000000,USB LS and FS,byte=0x35
1.845772998000000,USB LS and FS,byte=0xFF
1.845773748000000,USB LS and FS,byte=0x02
1.845774414000000,USB LS and FS,byte=0x86
