Time [s], Analyzer Name, Decoded Protocol Result
-0.100000000000000,USB LS and FS,Reset
0.000000110000000,USB LS and FS,Error packet
0.004217104000000,USB LS and FS,Reset
0.230379594000000,USB LS and FS,Reset
0.771022502000000,USB LS and FS,Reset


0.841995964000000,USB LS and FS,Frame # 0x000




0.842995980000000,USB LS and FS,Frame # 0x001
0.842996896000000,USB LS and FS,CRC OK 0x1D



0.843995908000000,USB LS and FS,Frame # 0x002




0.844995840000000,USB LS and FS,Frame # 0x003
0.844996756000000,USB LS and FS,CRC OK 0x0A



0.845995850000000,USB LS and FS,Frame # 0x004




0.846995782000000,USB LS and FS,Frame # 0x005
0.846996698000000,USB LS and FS,CRC OK 0x1A



0.847995794000000,USB LS and FS,Frame # 0x006




0.848995724000000,USB LS and FS,Frame # 0x007
0.848996642000000,USB LS and FS,CRC OK 0x0D



0.849995652000000,USB LS and FS,Frame # 0x008
0.849996570000000,USB LS and FS,CRC OK 0x0C



0.850995668000000,USB LS and FS,Frame # 0x009




0.851995596000000,USB LS and FS,Frame # 0x00A
0.851996512000000,USB LS and FS,CRC OK 0x1B



0.852995610000000,USB LS and FS,Frame # 0x00B




0.853995538000000,USB LS and FS,Frame # 0x00C
0.853996456000000,USB LS and FS,CRC OK 0x0B



0.854995470000000,USB LS and FS,Frame # 0x00D




0.855995482000000,USB LS and FS,Frame # 0x00E
0.855996398000000,USB LS and FS,CRC OK 0x1C



0.856995412000000,USB LS and FS,Frame # 0x00F




0.857995424000000,USB LS and FS,Frame # 0x010
0.857996340000000,USB LS and FS,CRC OK 0x1E



0.858995356000000,USB LS and FS,Frame # 0x011




0.859995284000000,USB LS and FS,Frame # 0x012




0.860995298000000,USB LS and FS,Frame # 0x013




0.861995226000000,USB LS and FS,Frame # 0x014




0.862995242000000,USB LS and FS,Frame # 0x015




0.863995170000000,USB LS and FS,Frame # 0x016
0.863996086000000,USB LS and FS,CRC OK 0x0E



0.864995102000000,USB LS and FS,Frame # 0x017




0.865995112000000,USB LS and FS,Frame # 0x018




0.866995044000000,USB LS and FS,Frame # 0x019
0.866995962000000,USB LS and FS,CRC OK 0x0F



0.867995056000000,USB LS and FS,Frame # 0x01A




0.868994986000000,USB LS and FS,Frame # 0x01B




0.869994914000000,USB LS and FS,Frame # 0x01C




0.870994930000000,USB LS and FS,Frame # 0x01D




