Time [s], Analyzer Name, Decoded Protocol Result
-0.100000000000000,USB LS and FS,Reset
0.000000034000000,USB LS and FS,Reset
0.757279340000000,USB LS and FS,Error packet
0.757751462000000,USB LS and FS,Error packet
0.757784442000000,USB LS and FS,Error packet
0.757949460000000,USB LS and FS,Reset
0.983606178000000,USB LS and FS,Reset
1.528096088000000,USB LS and FS,Reset
1.597714664000000,USB LS and FS,SYNC
1.597715330000000,USB LS and FS,PID SOF
1.597715994000000,USB LS and FS,Frame # '0'
1.597716914000000,USB LS and FS,CRC OK '2'
1.597717336000000,USB LS and FS,EOP
1.598714592000000,USB LS and FS,SYNC
1.598715256000000,USB LS and FS,PID SOF
1.598715924000000,USB LS and FS,Frame # '1'
1.598716842000000,USB LS and FS,CRC OK '29'
1.598717262000000,USB LS and FS,EOP
1.599714602000000,USB LS and FS,SYNC
1.599715268000000,USB LS and FS,PID SOF
1.599715932000000,USB LS and FS,Frame # '2'
1.599716852000000,USB LS and FS,CRC OK '21'
1.599717272000000,USB LS and FS,EOP
1.600714530000000,USB LS and FS,SYNC
1.600715196000000,USB LS and FS,PID SOF
1.600715862000000,USB LS and FS,Frame # '3'
1.600716778000000,USB LS and FS,CRC OK \n
1.600717198000000,USB LS and FS,EOP
1.601714540000000,USB LS and FS,SYNC
1.601715206000000,USB LS and FS,PID SOF
1.601715870000000,USB LS and FS,Frame # '4'
1.601716790000000,USB LS and FS,CRC OK '5'
1.601717212000000,USB LS and FS,EOP
1.602714468000000,USB LS and FS,SYNC
1.602715134000000,USB LS and FS,PID SOF
1.602715800000000,USB LS and FS,Frame # '5'
1.602716718000000,USB LS and FS,CRC OK '26'
1.602717138000000,USB LS and FS,EOP
1.603714394000000,USB LS and FS,SYNC
1.603715060000000,USB LS and FS,PID SOF
1.603715726000000,USB LS and FS,Frame # '6'
1.603716644000000,USB LS and FS,CRC OK '18'
1.603717064000000,USB LS and FS,EOP
1.604714406000000,USB LS and FS,SYNC
1.604715072000000,USB LS and FS,PID SOF
1.604715738000000,USB LS and FS,Frame # '7'
1.604716656000000,USB LS and FS,CRC OK \r
1.604717074000000,USB LS and FS,EOP
1.605714334000000,USB LS and FS,SYNC
1.605714998000000,USB LS and FS,PID SOF
1.605715664000000,USB LS and FS,Frame # '8'
1.605716580000000,USB LS and FS,CRC OK '12'
1.605717004000000,USB LS and FS,EOP
1.606714344000000,USB LS and FS,SYNC
1.606715010000000,USB LS and FS,PID SOF
1.606715676000000,USB LS and FS,Frame # \t
1.606716592000000,USB LS and FS,CRC OK '19'
1.606717016000000,USB LS and FS,EOP
1.607714272000000,USB LS and FS,SYNC
1.607714936000000,USB LS and FS,PID SOF
1.607715602000000,USB LS and FS,Frame # \n
1.607716518000000,USB LS and FS,CRC OK '27'
1.607716940000000,USB LS and FS,EOP
1.608714198000000,USB LS and FS,SYNC
1.608714864000000,USB LS and FS,PID SOF
1.608715530000000,USB LS and FS,Frame # '11'
1.608716446000000,USB LS and FS,CRC OK '4'
1.608716868000000,USB LS and FS,EOP
1.609714210000000,USB LS and FS,SYNC
1.609714876000000,USB LS and FS,PID SOF
1.609715540000000,USB LS and FS,Frame # '12'
1.609716458000000,USB LS and FS,CRC OK '11'
1.609716880000000,USB LS and FS,EOP
1.610714136000000,USB LS and FS,SYNC
1.610714802000000,USB LS and FS,PID SOF
1.610715470000000,USB LS and FS,Frame # \r
1.610716384000000,USB LS and FS,CRC OK '20'
1.610716808000000,USB LS and FS,EOP
1.611714148000000,USB LS and FS,SYNC
1.611714814000000,USB LS and FS,PID SOF
1.611715478000000,USB LS and FS,Frame # '14'
1.611716394000000,USB LS and FS,CRC OK '28'
1.611716816000000,USB LS and FS,EOP
1.612714074000000,USB LS and FS,SYNC
1.612714740000000,USB LS and FS,PID SOF
1.612715406000000,USB LS and FS,Frame # '15'
1.612716322000000,USB LS and FS,CRC OK '3'
1.612716744000000,USB LS and FS,EOP
1.613714002000000,USB LS and FS,SYNC
1.613714668000000,USB LS and FS,PID SOF
1.613715332000000,USB LS and FS,Frame # '16'
1.613716250000000,USB LS and FS,CRC OK '30'
1.613716674000000,USB LS and FS,EOP
1.614714012000000,USB LS and FS,SYNC
1.614714678000000,USB LS and FS,PID SOF
1.614715346000000,USB LS and FS,Frame # '17'
1.614716260000000,USB LS and FS,CRC OK '1'
1.614716684000000,USB LS and FS,EOP
1.615713940000000,USB LS and FS,SYNC
1.615714606000000,USB LS and FS,PID SOF
1.615715270000000,USB LS and FS,Frame # '18'
1.615716188000000,USB LS and FS,CRC OK \t
1.615716610000000,USB LS and FS,EOP
1.616713950000000,USB LS and FS,SYNC
1.616714616000000,USB LS and FS,PID SOF
1.616715284000000,USB LS and FS,Frame # '19'
1.616716198000000,USB LS and FS,CRC OK '22'
1.616716620000000,USB LS and FS,EOP
1.617713878000000,USB LS and FS,SYNC
1.617714544000000,USB LS and FS,PID SOF
1.617715210000000,USB LS and FS,Frame # '20'
1.617716126000000,USB LS and FS,CRC OK '25'
1.617716550000000,USB LS and FS,EOP
1.618713806000000,USB LS and FS,SYNC
1.618714472000000,USB LS and FS,PID SOF
1.618715138000000,USB LS and FS,Frame # '21'
1.618716052000000,USB LS and FS,CRC OK '6'
1.618716478000000,USB LS and FS,EOP
1.619713816000000,USB LS and FS,SYNC
1.619714482000000,USB LS and FS,PID SOF
1.619715146000000,USB LS and FS,Frame # '22'
1.619716064000000,USB LS and FS,CRC OK '14'
1.619716486000000,USB LS and FS,EOP
1.620713744000000,USB LS and FS,SYNC
1.620714410000000,USB LS and FS,PID SOF
1.620715076000000,USB LS and FS,Frame # '23'
1.620715992000000,USB LS and FS,CRC OK '17'
1.620716414000000,USB LS and FS,EOP
1.621713754000000,USB LS and FS,SYNC
1.621714420000000,USB LS and FS,PID SOF
1.621715086000000,USB LS and FS,Frame # '24'
1.621716004000000,USB LS and FS,CRC OK '16'
1.621716426000000,USB LS and FS,EOP
1.622713682000000,USB LS and FS,SYNC
1.622714348000000,USB LS and FS,PID SOF
1.622715014000000,USB LS and FS,Frame # '25'
1.622715932000000,USB LS and FS,CRC OK '15'
1.622716352000000,USB LS and FS,EOP
1.623713610000000,USB LS and FS,SYNC
1.623714276000000,USB LS and FS,PID SOF
1.623714940000000,USB LS and FS,Frame # '26'
1.623715860000000,USB LS and FS,CRC OK '7'
1.623716278000000,USB LS and FS,EOP
1.624713620000000,USB LS and FS,SYNC
1.624714286000000,USB LS and FS,PID SOF
1.624714952000000,USB LS and FS,Frame # '27'
1.624715870000000,USB LS and FS,CRC OK '24'
1.624716290000000,USB LS and FS,EOP
1.625713548000000,USB LS and FS,SYNC
1.625714214000000,USB LS and FS,PID SOF
1.625714878000000,USB LS and FS,Frame # '28'
1.625715798000000,USB LS and FS,CRC OK '23'
1.625716218000000,USB LS and FS,EOP
1.626713558000000,USB LS and FS,SYNC
1.626714224000000,USB LS and FS,PID SOF
1.626714890000000,USB LS and FS,Frame # '29'
1.626715808000000,USB LS and FS,CRC OK '8'
1.626716230000000,USB LS and FS,EOP
1.627713486000000,USB LS and FS,SYNC
1.627714152000000,USB LS and FS,PID SOF
1.627714816000000,USB LS and FS,Frame # '30'
1.627715736000000,USB LS and FS,CRC OK '0'
1.627716154000000,USB LS and FS,EOP
1.628713412000000,USB LS and FS,SYNC
1.628714078000000,USB LS and FS,PID SOF
1.628714746000000,USB LS and FS,Frame # '31'
1.628715744000000,USB LS and FS,CRC OK '31'
1.628716168000000,USB LS and FS,EOP
1.629713424000000,USB LS and FS,SYNC
1.629714090000000,USB LS and FS,PID SOF
1.629714754000000,USB LS and FS,Frame # ' '
1.629715674000000,USB LS and FS,CRC OK '19'
1.629716092000000,USB LS and FS,EOP
1.630713352000000,USB LS and FS,SYNC
1.630714016000000,USB LS and FS,PID SOF
1.630714684000000,USB LS and FS,Frame # !
1.630715600000000,USB LS and FS,CRC OK '12'
1.630716020000000,USB LS and FS,EOP
1.631713362000000,USB LS and FS,SYNC
1.631714028000000,USB LS and FS,PID SOF
1.631714692000000,USB LS and FS,Frame # "
1.631715612000000,USB LS and FS,CRC OK '4'
1.631716034000000,USB LS and FS,EOP
1.632713290000000,USB LS and FS,SYNC
1.632713954000000,USB LS and FS,PID SOF
1.632714622000000,USB LS and FS,Frame # #
1.632715540000000,USB LS and FS,CRC OK '27'
1.632715960000000,USB LS and FS,EOP
1.633713216000000,USB LS and FS,SYNC
1.633713882000000,USB LS and FS,PID SOF
1.633714546000000,USB LS and FS,Frame # $
1.633715466000000,USB LS and FS,CRC OK '20'
1.633715886000000,USB LS and FS,EOP
1.634713228000000,USB LS and FS,SYNC
1.634713894000000,USB LS and FS,PID SOF
1.634714560000000,USB LS and FS,Frame # %
1.634715478000000,USB LS and FS,CRC OK '11'
1.634715896000000,USB LS and FS,EOP
1.635713154000000,USB LS and FS,SYNC
1.635713820000000,USB LS and FS,PID SOF
1.635714486000000,USB LS and FS,Frame # &
1.635715404000000,USB LS and FS,CRC OK '3'
1.635715826000000,USB LS and FS,EOP
1.636713166000000,USB LS and FS,SYNC
1.636713832000000,USB LS and FS,PID SOF
1.636714498000000,USB LS and FS,Frame # '
1.636715414000000,USB LS and FS,CRC OK '28'
1.636715836000000,USB LS and FS,EOP
1.637713092000000,USB LS and FS,SYNC
1.637713758000000,USB LS and FS,PID SOF
1.637714424000000,USB LS and FS,Frame # (
1.637715340000000,USB LS and FS,CRC OK '29'
1.637715762000000,USB LS and FS,EOP
1.638713020000000,USB LS and FS,SYNC
1.638713686000000,USB LS and FS,PID SOF
1.638714352000000,USB LS and FS,Frame # )
1.638715268000000,USB LS and FS,CRC OK '2'
1.638715690000000,USB LS and FS,EOP
1.639713032000000,USB LS and FS,SYNC
1.639713696000000,USB LS and FS,PID SOF
1.639714362000000,USB LS and FS,Frame # *
1.639715278000000,USB LS and FS,CRC OK \n
1.639715702000000,USB LS and FS,EOP
1.640712958000000,USB LS and FS,SYNC
1.640713624000000,USB LS and FS,PID SOF
1.640714290000000,USB LS and FS,Frame # +
1.640715206000000,USB LS and FS,CRC OK '21'
1.640715630000000,USB LS and FS,EOP
1.641712968000000,USB LS and FS,SYNC
1.641713634000000,USB LS and FS,PID SOF
1.641714300000000,USB LS and FS,Frame # COMMA
1.641715216000000,USB LS and FS,CRC OK '26'
1.641715638000000,USB LS and FS,EOP
1.642712896000000,USB LS and FS,SYNC
1.642713562000000,USB LS and FS,PID SOF
1.642714228000000,USB LS and FS,Frame # -
1.642715144000000,USB LS and FS,CRC OK '5'
1.642715566000000,USB LS and FS,EOP
1.643712824000000,USB LS and FS,SYNC
1.643713490000000,USB LS and FS,PID SOF
1.643714154000000,USB LS and FS,Frame # .
1.643715072000000,USB LS and FS,CRC OK \r
1.643715494000000,USB LS and FS,EOP
1.644712834000000,USB LS and FS,SYNC
1.644713500000000,USB LS and FS,PID SOF
1.644714166000000,USB LS and FS,Frame # /
1.644715082000000,USB LS and FS,CRC OK '18'
1.644715506000000,USB LS and FS,EOP
1.645712762000000,USB LS and FS,SYNC
1.645713428000000,USB LS and FS,PID SOF
1.645714092000000,USB LS and FS,Frame # 0
1.645715010000000,USB LS and FS,CRC OK '15'
1.645715430000000,USB LS and FS,EOP
1.646712772000000,USB LS and FS,SYNC
1.646713438000000,USB LS and FS,PID SOF
1.646714104000000,USB LS and FS,Frame # 1
1.646715020000000,USB LS and FS,CRC OK '16'
1.646715442000000,USB LS and FS,EOP
1.647712700000000,USB LS and FS,SYNC
1.647713366000000,USB LS and FS,PID SOF
1.647714030000000,USB LS and FS,Frame # 2
1.647714948000000,USB LS and FS,CRC OK '24'
1.647715372000000,USB LS and FS,EOP
1.648712628000000,USB LS and FS,SYNC
1.648713294000000,USB LS and FS,PID SOF
1.648713960000000,USB LS and FS,Frame # 3
1.648714876000000,USB LS and FS,CRC OK '7'
1.648715298000000,USB LS and FS,EOP
1.649712638000000,USB LS and FS,SYNC
1.649713304000000,USB LS and FS,PID SOF
1.649713968000000,USB LS and FS,Frame # 4
1.649714886000000,USB LS and FS,CRC OK '8'
