Time [s], Analyzer Name, Decoded Protocol Result
7.062341708000000,USB LS and FS,byte=0xAA
7.062342376000000,USB LS and FS,byte=0x55
7.062343044000000,USB LS and FS,byte=0x43
7.062343708000000,USB LS and FS,byte=0x03
7.062344376000000,USB LS and FS,byte=0x27
7.062345042000000,USB LS and FS,byte=0x01
7.062345708000000,USB LS and FS,byte=0x6C
7.062870180000000,USB LS and FS,Byte 0x08
7.062870846000000,USB LS and FS,Byte 0x55
7.062871512000000,USB LS and FS,Byte 0xAA
7.062872176000000,USB LS and FS,Byte 0x43
7.062872840000000,USB LS and FS,Byte 0x04
7.062873506000000,USB LS and FS,Byte 0x28
7.062874170000000,USB LS and FS,Byte 0x01
7.062874838000000,USB LS and FS,Byte 0x01
7.062875500000000,USB LS and FS,Byte 0x6F
7.062876164000000,USB LS and FS,Byte 0xAA
7.062876830000000,USB LS and FS,Byte 0x53
7.062877494000000,USB LS and FS,Byte 0x0E
7.062878160000000,USB LS and FS,Byte 0x35
7.062878824000000,USB LS and FS,Byte 0x00
7.062879488000000,USB LS and FS,Byte 0x00
7.062880154000000,USB LS and FS,Byte 0x00
7.062880818000000,USB LS and FS,Byte 0x00
7.062881484000000,USB LS and FS,Byte 0x00
7.062882150000000,USB LS and FS,Byte 0x00
7.062882814000000,USB LS and FS,Byte 0x00
7.062883478000000,USB LS and FS,Byte 0x00
7.062884144000000,USB LS and FS,Byte 0x03
7.062884808000000,USB LS and FS,Byte 0x14
7.062885474000000,USB LS and FS,Byte 0xFF
7.062886220000000,USB LS and FS,Byte 0x02
7.062886886000000,USB LS and FS,Byte 0xAB
7.062887548000000,USB LS and FS,Byte 0x55
7.062888214000000,USB LS and FS,Byte 0xAA
7.062888878000000,USB LS and FS,Byte 0x53
7.062889542000000,USB LS and FS,Byte 0x03
7.062890208000000,USB LS and FS,Byte 0x15
7.062890874000000,USB LS and FS,Byte 0x01
7.062891538000000,USB LS and FS,Byte 0x6A
7.062892202000000,USB LS and FS,Byte 0x04
7.062892866000000,USB LS and FS,Byte 0x3C
7.062893530000000,USB LS and FS,Byte 0x53
7.062894194000000,USB LS and FS,Byte 0x0C
7.062894860000000,USB LS and FS,Byte 0x26
7.062895524000000,USB LS and FS,Byte 0x37
7.062896190000000,USB LS and FS,Byte 0x37
7.062896854000000,USB LS and FS,Byte 0x37
7.062897518000000,USB LS and FS,Byte 0x41
7.062898182000000,USB LS and FS,Byte 0x43
7.062898846000000,USB LS and FS,Byte 0x32
7.062899510000000,USB LS and FS,Byte 0x36
7.062900174000000,USB LS and FS,Byte 0x30
7.062900840000000,USB LS and FS,Byte 0xFF
7.062901586000000,USB LS and FS,Byte 0x04
7.062902252000000,USB LS and FS,Byte 0x44
7.062902916000000,USB LS and FS,Byte 0x55
7.062903580000000,USB LS and FS,Byte 0xAA
7.062904244000000,USB LS and FS,Byte 0x53
7.062904910000000,USB LS and FS,Byte 0x25
7.062905574000000,USB LS and FS,Byte 0xFF
7.062906320000000,USB LS and FS,Byte 0x02
7.062906986000000,USB LS and FS,Byte 0x76
7.062907652000000,USB LS and FS,Byte 0x55
7.062908314000000,USB LS and FS,Byte 0xAA
7.062908980000000,USB LS and FS,Byte 0x53
7.062909644000000,USB LS and FS,Byte 0x15
7.062910308000000,USB LS and FS,Byte 0x35
7.062910972000000,USB LS and FS,Byte 0x00
7.062911636000000,USB LS and FS,Byte 0x00
7.363066126000000,USB LS and FS,byte=0xAA
7.363066794000000,USB LS and FS,byte=0x55
7.363067460000000,USB LS and FS,byte=0x43
7.363068126000000,USB LS and FS,byte=0x13
7.363068792000000,USB LS and FS,byte=0x02
7.363069460000000,USB LS and FS,byte=0x37
7.363070128000000,USB LS and FS,byte=0x35
7.363070794000000,USB LS and FS,byte=0x35
7.363071460000000,USB LS and FS,byte=0x69
7.363072124000000,USB LS and FS,byte=0x34
7.363072792000000,USB LS and FS,byte=0x32
7.363073458000000,USB LS and FS,byte=0x7A
7.363074126000000,USB LS and FS,byte=0x6B
7.363074794000000,USB LS and FS,byte=0x79
7.363075460000000,USB LS and FS,byte=0x4F
7.363076126000000,USB LS and FS,byte=0x37
7.363076792000000,USB LS and FS,byte=0x52
7.363077460000000,USB LS and FS,byte=0x73
7.363078126000000,USB LS and FS,byte=0x38
7.363078792000000,USB LS and FS,byte=0x4D
7.363079460000000,USB LS and FS,byte=0x55
7.363080124000000,USB LS and FS,byte=0x06
7.363080792000000,USB LS and FS,byte=0x4A
7.366858694000000,USB LS and FS,Byte 0x17
7.366859360000000,USB LS and FS,Byte 0x55
7.366860022000000,USB LS and FS,Byte 0xAA
7.366860688000000,USB LS and FS,Byte 0x43
7.366861354000000,USB LS and FS,Byte 0x13
7.366862020000000,USB LS and FS,Byte 0x03
7.366862686000000,USB LS and FS,Byte 0xF9
7.366863348000000,USB LS and FS,Byte 0x48
7.366864014000000,USB LS and FS,Byte 0x2E
7.366864678000000,USB LS and FS,Byte 0xBE
7.366865344000000,USB LS and FS,Byte 0x70
7.366866010000000,USB LS and FS,Byte 0xC6
7.366866676000000,USB LS and FS,Byte 0x06
7.366867340000000,USB LS and FS,Byte 0xBC
7.366868006000000,USB LS and FS,Byte 0x4F
7.366868670000000,USB LS and FS,Byte 0x90
7.366869334000000,USB LS and FS,Byte 0x6B
7.366870000000000,USB LS and FS,Byte 0x3E
7.366870668000000,USB LS and FS,Byte 0xF3
7.366871332000000,USB LS and FS,Byte 0x3F
7.366872082000000,USB LS and FS,Byte 0x62
7.366872748000000,USB LS and FS,Byte 0x7E
7.366873496000000,USB LS and FS,Byte 0x09
7.366874162000000,USB LS and FS,Byte 0x17
7.366874824000000,USB LS and FS,Byte 0x02
7.366875492000000,USB LS and FS,Byte 0xAB
7.366876156000000,USB LS and FS,Byte 0x55
7.366876822000000,USB LS and FS,Byte 0xAA
7.366877488000000,USB LS and FS,Byte 0x53
7.366878154000000,USB LS and FS,Byte 0x03
7.366878818000000,USB LS and FS,Byte 0x15
7.366879484000000,USB LS and FS,Byte 0x01
7.366880148000000,USB LS and FS,Byte 0x6A
7.366880814000000,USB LS and FS,Byte 0x04
7.366881480000000,USB LS and FS,Byte 0x3C
7.366882144000000,USB LS and FS,Byte 0x53
7.366882812000000,USB LS and FS,Byte 0x0C
7.366883476000000,USB LS and FS,Byte 0x26
7.366884142000000,USB LS and FS,Byte 0x37
7.366884806000000,USB LS and FS,Byte 0x37
7.366885474000000,USB LS and FS,Byte 0x37
7.366886138000000,USB LS and FS,Byte 0x41
7.366886804000000,USB LS and FS,Byte 0x43
7.366887468000000,USB LS and FS,Byte 0x32
7.366888134000000,USB LS and FS,Byte 0x36
7.366888800000000,USB LS and FS,Byte 0x30
7.366889466000000,USB LS and FS,Byte 0xFF
7.366890214000000,USB LS and FS,Byte 0x04
7.366890880000000,USB LS and FS,Byte 0x44
7.366891544000000,USB LS and FS,Byte 0x55
7.366892210000000,USB LS and FS,Byte 0xAA
7.366892874000000,USB LS and FS,Byte 0x53
7.366893540000000,USB LS and FS,Byte 0x25
7.366894206000000,USB LS and FS,Byte 0xFF
7.366894954000000,USB LS and FS,Byte 0x02
7.366895620000000,USB LS and FS,Byte 0x76
7.366896286000000,USB LS and FS,Byte 0x55
7.366896952000000,USB LS and FS,Byte 0xAA
7.366897616000000,USB LS and FS,Byte 0x53
7.366898282000000,USB LS and FS,Byte 0x15
7.366898948000000,USB LS and FS,Byte 0x35
7.366899610000000,USB LS and FS,Byte 0x00
7.366900276000000,USB LS and FS,Byte 0x00
7.663911532000000,USB LS and FS,byte=0xAA
7.663912200000000,USB LS and FS,byte=0x55
7.663912868000000,USB LS and FS,byte=0x43
7.663913534000000,USB LS and FS,byte=0x03
7.663914202000000,USB LS and FS,byte=0x04
7.663914868000000,USB LS and FS,byte=0x01
7.663915534000000,USB LS and FS,byte=0x49
7.664847492000000,USB LS and FS,Byte 0x0F
7.664848240000000,USB LS and FS,Byte 0x55
7.664848906000000,USB LS and FS,Byte 0xAA
7.664849568000000,USB LS and FS,Byte 0x43
7.664850236000000,USB LS and FS,Byte 0x0B
7.664850900000000,USB LS and FS,Byte 0x05
7.664851566000000,USB LS and FS,Byte 0x37
7.664852230000000,USB LS and FS,Byte 0x37
7.664852896000000,USB LS and FS,Byte 0x37
7.664853560000000,USB LS and FS,Byte 0x41
7.664854224000000,USB LS and FS,Byte 0x46
7.664854890000000,USB LS and FS,Byte 0x36
7.664855554000000,USB LS and FS,Byte 0x36
7.664856220000000,USB LS and FS,Byte 0x31
7.664856886000000,USB LS and FS,Byte 0x03
7.664857550000000,USB LS and FS,Byte 0x1B
7.664858214000000,USB LS and FS,Byte 0x6B
7.664858878000000,USB LS and FS,Byte 0x3E
7.664859544000000,USB LS and FS,Byte 0xF3
7.664860208000000,USB LS and FS,Byte 0x3F
7.664860956000000,USB LS and FS,Byte 0x62
7.664861622000000,USB LS and FS,Byte 0x7E
7.664862370000000,USB LS and FS,Byte 0x09
7.664863038000000,USB LS and FS,Byte 0x17
7.664863700000000,USB LS and FS,Byte 0x02
7.664864366000000,USB LS and FS,Byte 0xAB
7.664865030000000,USB LS and FS,Byte 0x55
7.664865696000000,USB LS and FS,Byte 0xAA
7.664866360000000,USB LS and FS,Byte 0x53
7.664867024000000,USB LS and FS,Byte 0x03
7.664867690000000,USB LS and FS,Byte 0x15
7.664868354000000,USB LS and FS,Byte 0x01
7.664869020000000,USB LS and FS,Byte 0x6A
7.664869684000000,USB LS and FS,Byte 0x04
7.664870348000000,USB LS and FS,Byte 0x3C
7.664871014000000,USB LS and FS,Byte 0x53
7.664871678000000,USB LS and FS,Byte 0x0C
7.664872344000000,USB LS and FS,Byte 0x26
7.664873008000000,USB LS and FS,Byte 0x37
7.664873674000000,USB LS and FS,Byte 0x37
7.664874338000000,USB LS and FS,Byte 0x37
7.664875004000000,USB LS and FS,Byte 0x41
7.664875670000000,USB LS and FS,Byte 0x43
7.664876332000000,USB LS and FS,Byte 0x32
7.664876996000000,USB LS and FS,Byte 0x36
7.664877662000000,USB LS and FS,Byte 0x30
7.664878328000000,USB LS and FS,Byte 0xFF
7.664879074000000,USB LS and FS,Byte 0x04
7.664879740000000,USB LS and FS,Byte 0x44
7.664880406000000,USB LS and FS,Byte 0x55
7.664881068000000,USB LS and FS,Byte 0xAA
7.664881734000000,USB LS and FS,Byte 0x53
7.664882400000000,USB LS and FS,Byte 0x25
7.664883064000000,USB LS and FS,Byte 0xFF
7.664883812000000,USB LS and FS,Byte 0x02
7.664884478000000,USB LS and FS,Byte 0x76
7.664885142000000,USB LS and FS,Byte 0x55
7.664885806000000,USB LS and FS,Byte 0xAA
7.664886472000000,USB LS and FS,Byte 0x53
7.664887136000000,USB LS and FS,Byte 0x15
7.664887802000000,USB LS and FS,Byte 0x35
7.664888466000000,USB LS and FS,Byte 0x00
7.664889130000000,USB LS and FS,Byte 0x00
7.964841766000000,USB LS and FS,byte=0xAA
7.964842434000000,USB LS and FS,byte=0x55
7.964843102000000,USB LS and FS,byte=0x43
7.964843768000000,USB LS and FS,byte=0x03
7.964844434000000,USB LS and FS,byte=0x06
7.964845100000000,USB LS and FS,byte=0x01
7.964845768000000,USB LS and FS,byte=0x4B
7.965836132000000,USB LS and FS,Byte 0x17
7.965836798000000,USB LS and FS,Byte 0x55
7.965837460000000,USB LS and FS,Byte 0xAA
7.965838126000000,USB LS and FS,Byte 0x43
7.965838792000000,USB LS and FS,Byte 0x13
7.965839458000000,USB LS and FS,Byte 0x07
7.965840122000000,USB LS and FS,Byte 0x35
7.965840788000000,USB LS and FS,Byte 0x66
7.965841452000000,USB LS and FS,Byte 0x36
7.965842118000000,USB LS and FS,Byte 0x30
7.965842782000000,USB LS and FS,Byte 0x30
7.965843448000000,USB LS and FS,Byte 0x61
7.965844112000000,USB LS and FS,Byte 0x62
7.965844780000000,USB LS and FS,Byte 0x65
7.965845444000000,USB LS and FS,Byte 0x64
7.965846108000000,USB LS and FS,Byte 0x32
7.965846774000000,USB LS and FS,Byte 0x63
7.965847440000000,USB LS and FS,Byte 0x39
7.965848104000000,USB LS and FS,Byte 0x39
7.965848770000000,USB LS and FS,Byte 0x38
7.965849434000000,USB LS and FS,Byte 0x64
7.965850100000000,USB LS and FS,Byte 0x34
7.965850766000000,USB LS and FS,Byte 0x05
7.965851430000000,USB LS and FS,Byte 0xF0
7.965852096000000,USB LS and FS,Byte 0x02
7.965852762000000,USB LS and FS,Byte 0xAB
7.965853428000000,USB LS and FS,Byte 0x55
7.965854092000000,USB LS and FS,Byte 0xAA
7.965854758000000,USB LS and FS,Byte 0x53
7.965855422000000,USB LS and FS,Byte 0x03
7.965856088000000,USB LS and FS,Byte 0x15
7.965856754000000,USB LS and FS,Byte 0x01
7.965857418000000,USB LS and FS,Byte 0x6A
7.965858082000000,USB LS and FS,Byte 0x04
7.965858750000000,USB LS and FS,Byte 0x3C
7.965859414000000,USB LS and FS,Byte 0x53
7.965860080000000,USB LS and FS,Byte 0x0C
7.965860746000000,USB LS and FS,Byte 0x26
7.965861410000000,USB LS and FS,Byte 0x37
